date,deviceModel,provider,condition,networks,quote
11/30/2018 13:56,Apple iPhone 5s 16GB,MC Recycle,Working,Unlocked,0
11/30/2018 13:56,Apple iPhone 5s 16GB,MC Recycle,Working,O2,0
11/30/2018 13:56,Apple iPhone 5s 16GB,MC Recycle,Working,Vodafone,0
11/30/2018 13:56,Apple iPhone 5s 16GB,MC Recycle,Working,Three,0
11/30/2018 13:56,Apple iPhone 5s 16GB,MC Recycle,Working,Tesco,0
11/30/2018 13:56,Apple iPhone 5s 16GB,MC Recycle,Working,Lebara/GiffGaff/Lyca/Other,0
11/30/2018 13:56,Apple iPhone 5s 16GB,MC Recycle,Working,EE,0
11/30/2018 13:56,Apple iPhone 6 16GB,MC Recycle,Working,Unlocked,85
11/30/2018 13:56,Apple iPhone 6 16GB,MC Recycle,Working,O2,0
11/30/2018 13:56,Apple iPhone 6 16GB,MC Recycle,Working,Vodafone,0
11/30/2018 13:56,Apple iPhone 6 16GB,MC Recycle,Working,Three,0
11/30/2018 13:56,Apple iPhone 6 16GB,MC Recycle,Working,Tesco,0
11/30/2018 13:56,Apple iPhone 6 16GB,MC Recycle,Working,Lebara/GiffGaff/Lyca/Other,0
11/30/2018 13:56,Apple iPhone 6 16GB,MC Recycle,Working,EE,0
11/30/2018 13:56,Apple iPhone 5s 32GB,MC Recycle,Working,Unlocked,0
11/30/2018 13:56,Apple iPhone 5s 32GB,MC Recycle,Working,O2,0
11/30/2018 13:56,Apple iPhone 5s 32GB,MC Recycle,Working,Vodafone,0
11/30/2018 13:56,Apple iPhone 5s 32GB,MC Recycle,Working,Three,0
11/30/2018 13:56,Apple iPhone 5s 32GB,MC Recycle,Working,Tesco,0
11/30/2018 13:56,Apple iPhone 5s 32GB,MC Recycle,Working,Lebara/GiffGaff/Lyca/Other,0
11/30/2018 13:56,Apple iPhone 5s 32GB,MC Recycle,Working,EE,0
11/30/2018 13:56,Apple iPhone 5s 64GB,MC Recycle,Working,Unlocked,0
11/30/2018 13:56,Apple iPhone 5s 64GB,MC Recycle,Working,O2,0
11/30/2018 13:56,Apple iPhone 5s 64GB,MC Recycle,Working,Vodafone,0
11/30/2018 13:56,Apple iPhone 5s 64GB,MC Recycle,Working,Three,0
11/30/2018 13:56,Apple iPhone 5s 64GB,MC Recycle,Working,Tesco,0
11/30/2018 13:56,Apple iPhone 5s 64GB,MC Recycle,Working,Lebara/GiffGaff/Lyca/Other,0
11/30/2018 13:56,Apple iPhone 5s 64GB,MC Recycle,Working,EE,0
11/30/2018 13:56,Apple iPhone 6 64GB,MC Recycle,Working,Unlocked,116
11/30/2018 13:56,Apple iPhone 6 64GB,MC Recycle,Working,O2,0
11/30/2018 13:56,Apple iPhone 6 64GB,MC Recycle,Working,Vodafone,0
11/30/2018 13:56,Apple iPhone 6 64GB,MC Recycle,Working,Three,0
11/30/2018 13:56,Apple iPhone 6 64GB,MC Recycle,Working,Tesco,0
11/30/2018 13:56,Apple iPhone 6 64GB,MC Recycle,Working,Lebara/GiffGaff/Lyca/Other,0
11/30/2018 13:56,Apple iPhone 6 64GB,MC Recycle,Working,EE,0
11/30/2018 13:57,Apple iPhone 6 128GB,MC Recycle,Working,Unlocked,125
11/30/2018 13:57,Apple iPhone 6 128GB,MC Recycle,Working,O2,0
11/30/2018 13:57,Apple iPhone 6 128GB,MC Recycle,Working,Vodafone,0
11/30/2018 13:57,Apple iPhone 6 128GB,MC Recycle,Working,Three,0
11/30/2018 13:57,Apple iPhone 6 128GB,MC Recycle,Working,Tesco,0
11/30/2018 13:57,Apple iPhone 6 128GB,MC Recycle,Working,Lebara/GiffGaff/Lyca/Other,0
11/30/2018 13:57,Apple iPhone 6 128GB,MC Recycle,Working,EE,0
11/30/2018 13:57,Apple iPhone 6 Plus 16GB,MC Recycle,Working,Unlocked,120
11/30/2018 13:57,Apple iPhone 6 Plus 16GB,MC Recycle,Working,O2,0
11/30/2018 13:57,Apple iPhone 6 Plus 16GB,MC Recycle,Working,Vodafone,0
11/30/2018 13:57,Apple iPhone 6 Plus 16GB,MC Recycle,Working,Three,0
11/30/2018 13:57,Apple iPhone 6 Plus 16GB,MC Recycle,Working,Tesco,0
11/30/2018 13:57,Apple iPhone 6 Plus 16GB,MC Recycle,Working,Lebara/GiffGaff/Lyca/Other,0
11/30/2018 13:57,Apple iPhone 6 Plus 16GB,MC Recycle,Working,EE,0
11/30/2018 13:57,Apple iPhone 6 Plus 64GB,MC Recycle,Working,Unlocked,130
11/30/2018 13:57,Apple iPhone 6 Plus 64GB,MC Recycle,Working,O2,0
11/30/2018 13:57,Apple iPhone 6 Plus 64GB,MC Recycle,Working,Vodafone,0
11/30/2018 13:57,Apple iPhone 6 Plus 64GB,MC Recycle,Working,Three,0
11/30/2018 13:57,Apple iPhone 6 Plus 64GB,MC Recycle,Working,Tesco,0
11/30/2018 13:57,Apple iPhone 6 Plus 64GB,MC Recycle,Working,Lebara/GiffGaff/Lyca/Other,0
11/30/2018 13:57,Apple iPhone 6 Plus 64GB,MC Recycle,Working,EE,0
11/30/2018 13:58,Apple iPhone 6 Plus 128GB,MC Recycle,Working,Unlocked,0
11/30/2018 13:58,Apple iPhone 6 Plus 128GB,MC Recycle,Working,O2,0
11/30/2018 13:58,Apple iPhone 6 Plus 128GB,MC Recycle,Working,Vodafone,0
11/30/2018 13:58,Apple iPhone 6 Plus 128GB,MC Recycle,Working,Three,0
11/30/2018 13:58,Apple iPhone 6 Plus 128GB,MC Recycle,Working,Tesco,0
11/30/2018 13:58,Apple iPhone 6 Plus 128GB,MC Recycle,Working,Lebara/GiffGaff/Lyca/Other,0
11/30/2018 13:58,Apple iPhone 6 Plus 128GB,MC Recycle,Working,EE,0
11/30/2018 13:58,Apple iPhone 6S 16GB,MC Recycle,Working,Unlocked,110
11/30/2018 13:58,Apple iPhone 6S 16GB,MC Recycle,Working,O2,0
11/30/2018 13:58,Apple iPhone 6S 16GB,MC Recycle,Working,Vodafone,0
11/30/2018 13:58,Apple iPhone 6S 16GB,MC Recycle,Working,Three,0
